qid,label,problem,evidence,current_property,current_value,suggested_property,suggested_value,suggested_value_label,alle_kandidaten
Q110900113,Nickel clad steel,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q744=nickel
Q110981251,brass plated steel centre in nickel plated steel ring,moegliche spezifischere Subklasse,name (en) enthaelt 'nickel plated steel',P279,Q214609,P279,Q110870125,nickel plated steel,Q110870125=nickel plated steel; Q110867986=brass plated steel; Q1924900=metallic material; Q16829513=material; Q744=nickel
Q110981338,copper plated zinc,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q753=copper; Q3827429=plate
Q110981338,copper plated zinc,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q37756=Legierung,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q110996919,"Aluminium-bronze (90% Copper, 8% Aluminium, 2% Zinc)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q753=copper; Q34095=bronze
Q111020388,nickel plated zinc,moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q744=nickel; Q11426=metal; Q3827429=plate
Q111076597,"Brass plated steel (72.5% Copper, 27.5% Steel)",moegliche spezifischere Subklasse,name (en) enthaelt 'brass plated steel',P279,Q214609,P279,Q110867986,brass plated steel,Q110867986=brass plated steel; Q1924900=metallic material; Q16829513=material; Q753=copper; Q11426=metal
Q111080615,Copper clad steel,moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q753=copper; Q11426=metal
Q111182590,"Aluminium (96% Aluminum, 3.5% Magnesium, 0.5% Manganese)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q11426=metal; Q190527=alum
Q111182828,"Nickel brass (75% Copper, 4% Nickel, 21% Zinc)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q6047522=nickel brass; Q16829513=material; Q744=nickel; Q753=copper
Q111182945,Acmonital (austenitic),moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q11426=metal; Q2652014=ital
Q111210502,ancient materials,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q45190=cement
Q111210503,cellular material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q111381606,"Nickel brass (70% Copper, 18% Zinc, 12% Nickel)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q6047522=nickel brass; Q16829513=material; Q744=nickel; Q753=copper
Q111398539,"Aluminium-bronze (92% Copper, 6% Aluminum, 2% Nickel)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q744=nickel; Q753=copper
Q111398734,nickel plated copper,moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q744=nickel; Q753=copper; Q11426=metal
Q111475048,"Brass plated steel (Plating: 72.5% Copper, 27.5% Zinc)",moegliche spezifischere Subklasse,name (en) enthaelt 'brass plated steel',P279,Q214609,P279,Q110867986,brass plated steel,Q110867986=brass plated steel; Q1924900=metallic material; Q16829513=material; Q753=copper; Q11426=metal
Q111475245,"Aluminium (Aluminium 98%, Other Metals 2%)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q11426=metal; Q190527=alum
Q111475488,Brass clad steel,moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q11426=metal; Q39782=brass
Q111475492,"Aluminium-bronze (88.4% Copper, 5% Aluminum, 5% Nickel, 0.6% Manganese)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q744=nickel; Q753=copper
Q111475513,"Nickel plated steel (Plating: 95% Iron, 5% Nickel)",moegliche spezifischere Subklasse,name (en) enthaelt 'nickel plated steel',P279,Q214609,P279,Q110870125,nickel plated steel,Q110870125=nickel plated steel; Q1924900=metallic material; Q16829513=material; Q744=nickel; Q11426=metal
Q111550836,Nickel plated iron,moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q744=nickel; Q11426=metal; Q3827429=plate
Q111679199,"Aluminium-bronze (91.5% Copper, 8.5% Aluminum)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q753=copper; Q34095=bronze
Q111679211,Plated steel (brass and copper plated),moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q753=copper; Q11426=metal; Q3827429=plate
Q111679507,"Brass (58% Copper, 40% Zinc, 2% Manganese)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q753=copper; Q11426=metal; Q39782=brass
Q111684391,"Aluminium-magnesium (98.5% Aluminium, 1.5% Magnesium)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q11426=metal; Q190527=alum
Q111696369,copper-nickel plated nickel,moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q744=nickel; Q753=copper; Q11426=metal
Q111709094,Aluminium-bronze (Cu884 Ni50 Al50 Fe10 Mn6),moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q34095=bronze; Q11426=metal
Q111725350,deposit,moegliche spezifischere Subklasse,description (en) enthaelt 'process',P279,Q214609,P279,Q619671,process,Q619671=process; Q231250=lace
Q112166866,matrix,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q905592=filler; Q11428978=filler
Q112166889,"Copper-nickel (74.50% copper, 25.25% nickel)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q744=nickel; Q753=copper; Q11426=metal
Q112225193,Werkstoffeigenschaft,moegliche spezifischere Subklasse,name (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q2746643=Feige; Q5849500=Stoff; Q635343=rope
Q112225193,Werkstoffeigenschaft,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q96253971=Typ von Eigenschaft,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
